dateTime,last,lastDateTime,volBid,volAsk,bid,ask,vol
1356703440000,1.32194,0,0,0,0,0,0
1356703500000,1.32206,0,0,0,0,0,0
1356703560000,1.32202,0,0,0,0,0,0
1356703620000,1.32204,0,0,0,0,0,0
1356703680000,1.32205,0,0,0,0,0,0
1356703740000,1.32205,0,0,0,0,0,0
1356703800000,1.32199,0,0,0,0,0,0
1356703860000,1.32189,0,0,0,0,0,0
1356703920000,1.32188,0,0,0,0,0,0
1356703980000,1.32172,0,0,0,0,0,0
1356704040000,1.32180,0,0,0,0,0,0
1356704100000,1.32187,0,0,0,0,0,0
1356704160000,1.32188,0,0,0,0,0,0
1356704220000,1.32180,0,0,0,0,0,0
1356704280000,1.32183,0,0,0,0,0,0
1356704340000,1.32180,0,0,0,0,0,0
1356704400000,1.32179,0,0,0,0,0,0
1356704460000,1.32191,0,0,0,0,0,0
1356704520000,1.32190,0,0,0,0,0,0
1356704580000,1.32197,0,0,0,0,0,0
1356704640000,1.32200,0,0,0,0,0,0
1356704700000,1.32198,0,0,0,0,0,0
1356704760000,1.32198,0,0,0,0,0,0
1356704820000,1.32202,0,0,0,0,0,0
1356704880000,1.32192,0,0,0,0,0,0
1356704940000,1.32211,0,0,0,0,0,0
1356705000000,1.32218,0,0,0,0,0,0
1356705060000,1.32221,0,0,0,0,0,0
1356705120000,1.32219,0,0,0,0,0,0
1356705180000,1.32227,0,0,0,0,0,0
1356705240000,1.32219,0,0,0,0,0,0
1356705300000,1.32220,0,0,0,0,0,0
1356705360000,1.32228,0,0,0,0,0,0
1356705420000,1.32222,0,0,0,0,0,0
1356705480000,1.32212,0,0,0,0,0,0
1356705540000,1.32210,0,0,0,0,0,0
1356705600000,1.32210,0,0,0,0,0,0
1356705660000,1.32211,0,0,0,0,0,0
1356705720000,1.32199,0,0,0,0,0,0
1356705780000,1.32192,0,0,0,0,0,0
1356705840000,1.32193,0,0,0,0,0,0
1356705900000,1.32178,0,0,0,0,0,0
1356705960000,1.32188,0,0,0,0,0,0
1356706020000,1.32199,0,0,0,0,0,0
1356706080000,1.32192,0,0,0,0,0,0
1356706140000,1.32200,0,0,0,0,0,0
1356706200000,1.32177,0,0,0,0,0,0
1356706260000,1.32174,0,0,0,0,0,0
1356706320000,1.32183,0,0,0,0,0,0
1356706380000,1.32191,0,0,0,0,0,0
1356706440000,1.32191,0,0,0,0,0,0
1356706500000,1.32192,0,0,0,0,0,0
1356706560000,1.32185,0,0,0,0,0,0
1356706620000,1.32172,0,0,0,0,0,0
1356706680000,1.32161,0,0,0,0,0,0
1356706740000,1.32151,0,0,0,0,0,0
1356706800000,1.32170,0,0,0,0,0,0
1356706860000,1.32180,0,0,0,0,0,0
1356706920000,1.32179,0,0,0,0,0,0
1356706980000,1.32182,0,0,0,0,0,0
1356707040000,1.32179,0,0,0,0,0,0
1356707100000,1.32186,0,0,0,0,0,0
1356707160000,1.32196,0,0,0,0,0,0
1356707220000,1.32192,0,0,0,0,0,0
1356707280000,1.32191,0,0,0,0,0,0
1356707340000,1.32196,0,0,0,0,0,0
1356707400000,1.32201,0,0,0,0,0,0
1356707460000,1.32202,0,0,0,0,0,0
1356707520000,1.32190,0,0,0,0,0,0
1356707580000,1.32200,0,0,0,0,0,0
1356707640000,1.32209,0,0,0,0,0,0
1356707700000,1.32209,0,0,0,0,0,0
1356707760000,1.32209,0,0,0,0,0,0
1356707820000,1.32208,0,0,0,0,0,0
1356707880000,1.32211,0,0,0,0,0,0
1356707940000,1.32210,0,0,0,0,0,0
1356708000000,1.32217,0,0,0,0,0,0
1356708060000,1.32208,0,0,0,0,0,0
1356708120000,1.32200,0,0,0,0,0,0
1356708180000,1.32200,0,0,0,0,0,0
1356708240000,1.32203,0,0,0,0,0,0
1356708300000,1.32203,0,0,0,0,0,0
1356708360000,1.32204,0,0,0,0,0,0
1356708420000,1.32207,0,0,0,0,0,0
1356708480000,1.32201,0,0,0,0,0,0
1356708540000,1.32205,0,0,0,0,0,0
1356708600000,1.32208,0,0,0,0,0,0
1356708660000,1.32197,0,0,0,0,0,0
1356708720000,1.32197,0,0,0,0,0,0
1356708780000,1.32193,0,0,0,0,0,0
1356708840000,1.32223,0,0,0,0,0,0
1356708900000,1.32218,0,0,0,0,0,0
1356708960000,1.32216,0,0,0,0,0,0
1356709020000,1.32216,0,0,0,0,0,0
1356709080000,1.32185,0,0,0,0,0,0
1356709140000,1.32182,0,0,0,0,0,0
1356709200000,1.32188,0,0,0,0,0,0
1356709260000,1.32183,0,0,0,0,0,0
1356709320000,1.32195,0,0,0,0,0,0
1356709380000,1.32191,0,0,0,0,0,0
1356709440000,1.32191,0,0,0,0,0,0
1356709500000,1.32167,0,0,0,0,0,0
1356709560000,1.32178,0,0,0,0,0,0
1356709620000,1.32174,0,0,0,0,0,0
1356709680000,1.32183,0,0,0,0,0,0
1356709740000,1.32186,0,0,0,0,0,0
1356709800000,1.32186,0,0,0,0,0,0
1356709860000,1.32159,0,0,0,0,0,0
1356709920000,1.32171,0,0,0,0,0,0
1356709980000,1.32176,0,0,0,0,0,0
1356710040000,1.32177,0,0,0,0,0,0
1356710100000,1.32168,0,0,0,0,0,0
1356710160000,1.32166,0,0,0,0,0,0
1356710220000,1.32177,0,0,0,0,0,0
1356710280000,1.32172,0,0,0,0,0,0
1356710340000,1.32162,0,0,0,0,0,0
1356883200000,1.32129,0,0,0,0,0,0
1356883260000,1.32123,0,0,0,0,0,0
